Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
5sXVuhekmY2tWrGRuDs6ib2WgVcyz3Eq8iMouR53yZZ78aZAQgs62et4aRkaATJi6rraK4wQaFrMaCGN43c5ax1A,1777012299,2026-04-24T06:31:39.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1745,9,SOL,1.0
5sXVuhekmY2tWrGRuDs6ib2WgVcyz3Eq8iMouR53yZZ78aZAQgs62et4aRkaATJi6rraK4wQaFrMaCGN43c5ax1A,1777012299,2026-04-24T06:31:39.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1745,9,SOL,1.0
5sXVuhekmY2tWrGRuDs6ib2WgVcyz3Eq8iMouR53yZZ78aZAQgs62et4aRkaATJi6rraK4wQaFrMaCGN43c5ax1A,1777012299,2026-04-24T06:31:39.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1745,9,SOL,1.0
5sXVuhekmY2tWrGRuDs6ib2WgVcyz3Eq8iMouR53yZZ78aZAQgs62et4aRkaATJi6rraK4wQaFrMaCGN43c5ax1A,1777012299,2026-04-24T06:31:39.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1745,9,SOL,1.0
5sXVuhekmY2tWrGRuDs6ib2WgVcyz3Eq8iMouR53yZZ78aZAQgs62et4aRkaATJi6rraK4wQaFrMaCGN43c5ax1A,1777012299,2026-04-24T06:31:39.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1745,9,SOL,1.0
5sXVuhekmY2tWrGRuDs6ib2WgVcyz3Eq8iMouR53yZZ78aZAQgs62et4aRkaATJi6rraK4wQaFrMaCGN43c5ax1A,1777012299,2026-04-24T06:31:39.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1745,9,SOL,1.0
5sXVuhekmY2tWrGRuDs6ib2WgVcyz3Eq8iMouR53yZZ78aZAQgs62et4aRkaATJi6rraK4wQaFrMaCGN43c5ax1A,1777012299,2026-04-24T06:31:39.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1745,9,SOL,1.0
3zX3Ub52PfgoYzFgdc8QdUfY3UVXqUD3y1Us9329nUKZgLvLHJUjrUp2BJWVULdT1WiNZDgjwVEN1dL8zcMR2pgq,1777012236,2026-04-24T06:30:36.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2074080,out,0.1776,9,SOL,1.0
3zX3Ub52PfgoYzFgdc8QdUfY3UVXqUD3y1Us9329nUKZgLvLHJUjrUp2BJWVULdT1WiNZDgjwVEN1dL8zcMR2pgq,1777012236,2026-04-24T06:30:36.000Z,BURN,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,,766031758371,out,6.0334,6,56cTe4YYsUjczLZ5Xap1YSJ2xUWcgQC5uGdEQB4TTDsX,1.0
2Sg1JYwLqWvLduq5fc49uZpPATeuMujVFMn7bJZzbzAUNrQXWiLTm5fekyvTr5e1MRjrsG5HBAXuBx6Fj8oQug37,1777012233,2026-04-24T06:30:33.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1747,9,SOL,1.0
