Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
7EPTSR9SJXt3DX9Uf76bhtKkhX1pHDFEj45QL3jRz11YuxH4ZWJy5tAATbPhaVkKUsKkQ4SGXycPvwsnrMNKAQp,1777022498,2026-04-24T09:21:38.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1735,9,SOL,1.0
S3MeyKVfRuAUjGQbV2B1tsocbyToG7fixcsScQAj9SN6Fwo1JjEVcxrgUmgYQaYnrNDacBDVBDQ5a3b5eea3Rq8,1777022492,2026-04-24T09:21:32.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1736,9,SOL,1.0
S3MeyKVfRuAUjGQbV2B1tsocbyToG7fixcsScQAj9SN6Fwo1JjEVcxrgUmgYQaYnrNDacBDVBDQ5a3b5eea3Rq8,1777022492,2026-04-24T09:21:32.000Z,BURN,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,,2467067447,out,0.6053,6,DtjYkwihku4sArAJFWHv19BMDQ6xT61Sa8V9WqhWGtGB,1.0
2v6brC7mjMqewKdzkEUaREKroqwCNFbYECrUsAgCNN2YBRCRf5Bq1jdnENpQDU8uDVwQHGbUyGSTqgaigcvf2Rk2,1777022450,2026-04-24T09:20:50.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1737,9,SOL,1.0
2v6brC7mjMqewKdzkEUaREKroqwCNFbYECrUsAgCNN2YBRCRf5Bq1jdnENpQDU8uDVwQHGbUyGSTqgaigcvf2Rk2,1777022450,2026-04-24T09:20:50.000Z,BURN,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,,4828942835,out,1.2857,6,7Htp54Wsz6TdDQRgjXDgNJjhDQ4VSzD2EjNYmcGxxn5t,1.0
3CVx4yppzf87jDSCRxddBVwUXMj5dA7komXXTRiWFyFMkJevBG5Q97afBLgzkHEEynom5nykGPpXTHvXimczxRvT,1777022169,2026-04-24T09:16:09.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,HFqU5x63VTqvQss8hp11i4wVV8bD44PvwucfZ2bU7gRe,70000,out,0.005969,9,SOL,1.0
W2TBmHQ6D41JRtJ5i2JRDZe4fRp164TUyq4cgRBpYaaqUxY9fUiybBxM6VWE9ss6zVR25DikGptMxjPc3rLeD8p,1777022169,2026-04-24T09:16:09.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,48183349,out,4.1084,9,SOL,1.0
W2TBmHQ6D41JRtJ5i2JRDZe4fRp164TUyq4cgRBpYaaqUxY9fUiybBxM6VWE9ss6zVR25DikGptMxjPc3rLeD8p,1777022169,2026-04-24T09:16:09.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,AVmoTthdrX6tKt4nDjco2D775W2YK3sDhxPcMmzUAmTY,8170788,out,0.001961,6,7Htp54Wsz6TdDQRgjXDgNJjhDQ4VSzD2EjNYmcGxxn5t,1.0
W2TBmHQ6D41JRtJ5i2JRDZe4fRp164TUyq4cgRBpYaaqUxY9fUiybBxM6VWE9ss6zVR25DikGptMxjPc3rLeD8p,1777022169,2026-04-24T09:16:09.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,9VcRz5j714qSRKiYZYGwqnCCAFxRwh5WzifxK2umNeP1,16382429418,out,3.9325,6,7Htp54Wsz6TdDQRgjXDgNJjhDQ4VSzD2EjNYmcGxxn5t,1.0
W2TBmHQ6D41JRtJ5i2JRDZe4fRp164TUyq4cgRBpYaaqUxY9fUiybBxM6VWE9ss6zVR25DikGptMxjPc3rLeD8p,1777022169,2026-04-24T09:16:09.000Z,TRANSFER,9VcRz5j714qSRKiYZYGwqnCCAFxRwh5WzifxK2umNeP1,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,46144069,in,3.9327,9,So11111111111111111111111111111111111111112,1.0
