Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
GbAr72S6M2wkWzNSzpJZRsfa32SZiCx6H23RyyT3D11PxruPSngK4tTs5rH52kZcyEgtujHYxzuj2LJ7Vsuq2kX,1777376105,2026-04-28T11:35:05.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,ADuUkR4vqLUMWXxW9gh6D6L8pMSawimctcNZ5pGwDcEt,300000,out,0.02509,9,SOL,1.0
39haTqNV8tpv54saLq1zf5gcYnLkW5FGnvJXaBmdLdqR3Pd9g4cig13hUdPAMsjBPY2UQ3yW8URW1xCw7hFtLD2y,1777376105,2026-04-28T11:35:05.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2044853,out,0.171,9,SOL,1.0
39haTqNV8tpv54saLq1zf5gcYnLkW5FGnvJXaBmdLdqR3Pd9g4cig13hUdPAMsjBPY2UQ3yW8URW1xCw7hFtLD2y,1777376105,2026-04-28T11:35:05.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,7VtfL8fvgNfhz17qKRMjzQEXgbdpnHHHQRh54R9jP2RJ,1,out,9.066e-7,9,pTkKEe9Eb9qiUG7xZx7JnKKTAEeen3vb9a4N2Ghbpb4,1.0
39haTqNV8tpv54saLq1zf5gcYnLkW5FGnvJXaBmdLdqR3Pd9g4cig13hUdPAMsjBPY2UQ3yW8URW1xCw7hFtLD2y,1777376105,2026-04-28T11:35:05.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,9Nfp8Vb8szXoPv9GJjumpxw9o7nooniimWzkPEjciEKo,513,out,0.0004651,9,pTkKEe9Eb9qiUG7xZx7JnKKTAEeen3vb9a4N2Ghbpb4,1.0
39haTqNV8tpv54saLq1zf5gcYnLkW5FGnvJXaBmdLdqR3Pd9g4cig13hUdPAMsjBPY2UQ3yW8URW1xCw7hFtLD2y,1777376105,2026-04-28T11:35:05.000Z,TRANSFER,9Nfp8Vb8szXoPv9GJjumpxw9o7nooniimWzkPEjciEKo,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,5573,in,0.0004661,9,So11111111111111111111111111111111111111112,1.0
39haTqNV8tpv54saLq1zf5gcYnLkW5FGnvJXaBmdLdqR3Pd9g4cig13hUdPAMsjBPY2UQ3yW8URW1xCw7hFtLD2y,1777376105,2026-04-28T11:35:05.000Z,CREATE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,cTG5oJLRujDcUnHhBfWYFnV2Fhkdj2bdsu8pvjxUbNY,2039280,out,0.1705,9,SOL,1.0
6ue4N3U8SsbxTMSMRsX3DriadSsdHgJhbBwyCD2vwDgm4Rny5t55dYKpZPvwsFCi2CuiKaej7UhDDGaYeBfCoZz,1777376103,2026-04-28T11:35:03.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,96gYZGLnJYVFmbjzopPSU6QiEV5fGqZNyN9nmNhvrZU5,300000,out,0.0251,9,SOL,1.0
56JNoLtovmYD7XKD433SZxU8jv2qMjoesWfufPb5zFuowjuEpx59Lund1tJd5MVMDL7QDYMdbjCiAqEvWBzV96tm,1777376103,2026-04-28T11:35:03.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2051435,out,0.1716,9,SOL,1.0
56JNoLtovmYD7XKD433SZxU8jv2qMjoesWfufPb5zFuowjuEpx59Lund1tJd5MVMDL7QDYMdbjCiAqEvWBzV96tm,1777376103,2026-04-28T11:35:03.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,AVmoTthdrX6tKt4nDjco2D775W2YK3sDhxPcMmzUAmTY,1,out,0.000002505,9,pTkKEe9Eb9qiUG7xZx7JnKKTAEeen3vb9a4N2Ghbpb4,1.0
56JNoLtovmYD7XKD433SZxU8jv2qMjoesWfufPb5zFuowjuEpx59Lund1tJd5MVMDL7QDYMdbjCiAqEvWBzV96tm,1777376103,2026-04-28T11:35:03.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,9Nfp8Vb8szXoPv9GJjumpxw9o7nooniimWzkPEjciEKo,405,out,0.001014,9,pTkKEe9Eb9qiUG7xZx7JnKKTAEeen3vb9a4N2Ghbpb4,1.0
